DateTime;KOELGLEID_MSP_A.MSPChanged;KOELING_BAK:0310TT110.MEAS;KOELING_BAK:0310TT120.MEAS;KOELING_BAK:0310TT121.MEAS;KrachtMeting_MP1.KrachtMeting;KrachtMeting_MP1.KrachtMeting.Average
1-4-2019 09:00;1;13.42961884;13.10046387;16.84786415;;
1-4-2019 10:00;1;13.42961884;12.24695914;16.3195573;;
1-4-2019 11:00;1;13.42961884;12.09689426;15.72511292;;
1-4-2019 12:00;1;13.42961884;12.34429723;15.72511292;;
1-4-2019 13:00;1;13.42961884;13.146451;15.72511292;;
1-4-2019 14:00;1;13.42961884;13.146451;15.72511292;;
1-4-2019 15:00;1;13.42961884;13.39292317;15.72511292;;
1-4-2019 16:00;1;13.42961884;14.2471199;15.72511292;;
1-4-2019 17:00;1;13.42961884;14.47804644;15.72511292;;
1-4-2019 18:00;1;13.42961884;15.27033234;15.72511292;;
1-4-2019 19:00;1;13.42961884;15.27033234;15.72511292;;
1-4-2019 20:00;1;13.42961884;15.27033234;15.72511292;;
1-4-2019 21:00;1;13.42961884;15.27033234;15.72511292;;
1-4-2019 22:00;1;13.42961884;15.27033234;15.72511292;;
1-4-2019 23:00;1;13.42961884;15.27033234;15.72511292;;
1-5-2019 00:00;1;13.6725502;14.17341042;16.51837921;(null);(null)
1-5-2019 01:00;1;13.6725502;14.17341042;16.51837921;(null);(null)
1-5-2019 02:00;1;13.6725502;14.17341042;16.51837921;(null);(null)
1-5-2019 03:00;1;13.6725502;14.17341042;16.51837921;(null);(null)
1-5-2019 04:00;1;13.6725502;14.17341042;16.51837921;(null);(null)
1-5-2019 05:00;1;13.6725502;14.17341042;16.51837921;(null);(null)
1-5-2019 06:00;1;13.6725502;14.17341042;17.34980024;(null);(null)
1-5-2019 07:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 08:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 09:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 10:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 11:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 12:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 13:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 14:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 15:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 16:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 17:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 18:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 19:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 20:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 21:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 22:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-5-2019 23:00;1;13.6725502;14.17341042;17.58366966;(null);(null)
1-6-2019 00:00;1;13.69935989;20.00560951;20.09439087;(null);(null)
1-6-2019 01:00;1;13.69935989;19.30207703;20.09439087;(null);(null)
1-6-2019 02:00;1;13.69935989;18.9557991;20.09439087;(null);(null)
1-6-2019 03:00;1;13.69935989;18.9557991;20.09439087;(null);(null)
1-6-2019 04:00;1;13.69935989;18.55565402;20.09439087;(null);(null)
1-6-2019 05:00;1;13.69935989;17.95553017;20.09439087;(null);(null)
1-6-2019 06:00;1;13.69935989;17.63956861;20.09439087;(null);(null)
1-6-2019 07:00;1;13.69935989;16.89602089;20.09439087;(null);(null)
1-6-2019 08:00;1;13.69935989;16.89602089;20.09439087;(null);(null)
1-6-2019 09:00;1;13.69935989;16.89602089;20.09439087;(null);(null)
1-6-2019 10:00;1;13.69935989;16.89602089;20.09439087;(null);(null)
1-6-2019 11:00;1;13.69935989;16.89602089;20.09439087;(null);(null)
1-6-2019 12:00;1;13.69935989;16.89602089;20.09439087;(null);(null)
1-6-2019 13:00;1;13.69935989;16.90229453;21.03676458;(null);(null)
1-6-2019 14:00;1;13.69935989;17.94220924;21.09524918;(null);(null)
1-6-2019 15:00;1;13.69935989;18.38544887;21.09524918;(null);(null)
1-6-2019 16:00;1;13.69935989;18.98097737;21.09524918;(null);(null)
1-6-2019 17:00;1;13.69935989;20.01306915;21.09524918;(null);(null)
1-6-2019 18:00;1;13.69935989;20.35070678;21.09524918;(null);(null)
1-6-2019 19:00;1;13.69935989;21.04476929;21.09524918;(null);(null)
1-6-2019 20:00;1;13.69935989;21.38228216;21.09524918;(null);(null)
1-6-2019 21:00;1;13.69935989;22.06304932;21.09524918;(null);(null)
1-6-2019 22:00;1;13.69935989;22.06304932;21.09524918;(null);(null)
1-6-2019 23:00;1;13.69935989;22.06304932;21.09524918;(null);(null)
1-7-2019 00:00;1;13.7534759;22.07444;16.50433922;(null);(null)
1-7-2019 01:00;1;12.94421959;21.855787;16.50433922;(null);(null)
1-7-2019 02:00;1;12.94421959;21.06285095;16.50433922;(null);(null)
1-7-2019 03:00;1;13.63899157;21.06285095;16.50433922;(null);(null)
1-7-2019 04:00;1;13.97684002;21.03994341;16.50433922;(null);(null)
1-7-2019 05:00;1;13.97684002;20.05611038;16.50433922;(null);(null)
1-7-2019 06:00;1;13.97684002;20.05611038;16.50433922;(null);(null)
1-7-2019 07:00;1;13.97684002;20.05611038;16.50433922;(null);(null)
1-7-2019 08:00;1;13.97684002;19.55106996;16.50433922;(null);(null)
1-7-2019 09:00;1;12.96790037;19.0536499;16.50433922;(null);(null)
1-7-2019 10:00;1;12.92086029;19.0536499;16.50433922;(null);(null)
1-7-2019 11:00;1;13.02107078;19.0536499;16.50433922;(null);(null)
1-7-2019 12:00;1;13.93575001;19.0536499;16.50433922;(null);(null)
