DateTime;ADDITIEF:0320LT130.PNT;ADDITIEF:0320LT230.PNT;ADDITIEF:0320LT310.PNT;ADDITIEF:0320LT333.PNT;ADDITIEF:0320WT010.PNT
1-3-2019 19:00;59.77642841;56.59933284;88.51883118;52.34094202;1.044348159
1-3-2019 20:00;52.41511192;71.27903746;84.28995928;61.24332101;19.49568568
1-3-2019 21:00;44.56559568;71.95197068;84.29013677;56.66299977;137.3941571
1-3-2019 22:00;54.1459148;66.79705806;83.31712548;52.3319951;32.17420983
1-3-2019 23:00;47.57991896;61.42417579;80.2577691;62.08507938;51.07025805
1-4-2019 0:00;53.24937385;59.60146551;75.76839746;54.30113547;55.99440155
1-4-2019 1:00;55.01395502;53.57954195;73.05745957;56.30954999;110.8408833
1-4-2019 2:00;53.75834205;63.4983639;71.7249629;58.50801306;27.87285649
1-4-2019 3:00;51.94206842;65.46115912;71.59960909;53.05356214;160.5826176
1-4-2019 4:00;55.12538859;59.66316023;67.99951115;58.47867267;166.8691065
1-4-2019 5:00;65.56860768;53.88165258;67.70340491;57.24625334;0.828725209
1-4-2019 6:00;55.4936499;66.85579001;67.18103457;51.77597516;18.25508338
1-4-2019 7:00;50.47831585;66.7421045;63.57726069;60.59623726;169.7971457
1-4-2019 8:00;59.73730773;61.87982012;63.54745412;55.98026318;-3.533886243
1-4-2019 9:00;52.79645319;57.90153244;62.96820758;51.13763475;-3.403380267
1-4-2019 10:00;51.7924509;57.55142212;59.76684735;63.00151282;-3.270006148
1-4-2019 11:00;49.40267883;56.2278084;59.75180784;60.90821852;167.2142616
1-4-2019 12:00;63.83053677;52.73626592;59.68104692;58.22121208;0.999201436
1-4-2019 13:00;58.30996166;62.31433813;59.54194137;53.80357264;18.70842578
1-4-2019 14:00;53.10426367;70.15681927;56.89476993;56.2610011;-4.051597284
1-4-2019 15:00;51.34480643;69.33820102;55.47732464;62.22988478;63.90971784
1-4-2019 16:00;58.38409682;66.20362037;55.58731872;59.74708635;102.0534733
1-4-2019 17:00;59.80970212;62.31057346;55.71041995;57.24479353;-3.403506091
1-4-2019 18:00;53.18081579;58.63691298;58.79148584;54.30112455;26.39207003
1-4-2019 19:00;56.41852536;54.83445956;83.33779119;55.91160796;141.3319647
1-4-2019 20:00;60.50350634;51.07399836;81.76522402;58.99743064;11.56435328
1-4-2019 21:00;53.63985879;69.89463632;81.71273038;53.58653125;2.186706315
1-4-2019 22:00;52.90335999;66.48710366;78.3813643;57.63038999;170.6924356
1-4-2019 23:00;60.95306429;62.69835921;77.61341534;57.9496533;-3.945357024
1-5-2019 0:00;54.94985208;66.35744037;55.82835222;54.48235625;150.5208306
1-5-2019 1:00;59.24820692;63.13079805;52.87844781;54.77473345;-2.780731776
1-5-2019 2:00;52.37689307;59.87067974;64.49679066;57.07305832;52.71983311
1-5-2019 3:00;57.16007047;56.58072193;75.23824475;58.64572923;115.2620162
1-5-2019 4:00;55.990877;53.35225325;71.79854013;56.08155019;-3.015961679
1-5-2019 5:00;52.20825576;50.42512144;67.23602798;57.86970481;186.9533109
1-5-2019 6:00;60.75836219;70.12357786;65.79022507;52.94040179;-1.550630695
1-5-2019 7:00;52.86771789;67.13421918;63.14659658;60.05854064;-3.599999905
1-5-2019 8:00;52.24492812;63.93945498;62.35335592;52.22924789;170.2581991
1-5-2019 9:00;58.6108218;60.71568719;59.11596272;60.8790928;-2.599777655
1-5-2019 10:00;50.89713868;57.41410514;58.83508915;52.76307023;134.9144896
1-5-2019 11:00;61.40534488;54.07744866;54.70198981;60.18419026;33.24512453
1-5-2019 12:00;55.83735086;52.49172198;53.02916299;54.61114343;15.22810057
1-5-2019 13:00;52.02651126;70.11683025;50.07402511;54.13682944;169.9899199
1-5-2019 14:00;59.60730485;66.20323772;46.64519099;56.87913266;-2.797081094
1-5-2019 15:00;50.8469429;62.39549293;42.85436281;57.22828;105.8832073
1-5-2019 16:00;57.88599975;58.34180759;39.16349592;57.43700469;61.7022373
1-5-2019 17:00;54.43148438;54.60227059;36.30973556;55.39746808;-2.785904577
1-5-2019 18:00;51.45376113;52.15071249;32.6205925;56.64165023;190.7569897
1-5-2019 19:00;57.65777227;70.43216945;29.1529602;55.53064962;-3.596444464
1-5-2019 20:00;48.43359185;66.19445193;25.22496356;55.33251481;167.3562243
1-5-2019 21:00;59.75586736;62.36015761;21.95808105;53.97399401;-0.665575441
1-5-2019 22:00;50.79434341;58.3921132;18.43389127;56.13155751;78.07686264
1-5-2019 23:00;55.76756698;54.53704268;14.86133003;56.61603005;89.3106297
1-6-2019 0:00;56.4642408;55.91695174;92.81958816;58.28826731;4.113378503
1-6-2019 1:00;49.46884083;49.79741734;92.84194513;52.85788089;190.8743455
1-6-2019 2:00;53.73460891;66.36099024;88.58576759;61.11185205;24.00551177
1-6-2019 3:00;52.99597121;61.26387692;88.08861528;57.17544363;152.7985204
1-6-2019 4:00;56.45594682;56.87774951;87.52118354;51.80184609;0.429118336
1-6-2019 5:00;51.58424895;53.13310551;84.07339258;62.67708617;174.7686485
1-6-2019 6:00;63.49700786;62.28815716;84.13516547;56.14385049;18.01081694
1-6-2019 7:00;56.2578712;70.05534179;82.72951756;53.80890709;0.639452477
1-6-2019 8:00;48.77658093;66.34778986;80.17231304;61.07313936;169.8511387
1-6-2019 9:00;61.13158408;62.13588108;80.17511311;55.13937564;6.317537635
1-6-2019 10:00;53.91405105;58.13578722;77.99612108;56.53371284;0.655525334
1-6-2019 11:00;50.72933864;54.2284801;76.10372472;60.09931515;174.7458969
1-6-2019 12:00;59.37417787;61.06285608;76.08514319;54.87411506;18.1010221
1-6-2019 13:00;51.45026991;69.96345017;76.02362486;51.89740568;101.2652707
