;column1;column2;column3;column4;column5;column6
0;1.0;5.73641777;5.991744995;13.88897991;;
1;1.0;5.73641777;5.991744995;13.88897991;;
2;1.0;5.73641777;5.991744995;13.88897991;;
3;1.0;5.73641777;5.991744995;13.88897991;;
4;1.0;6.46234768;5.991744995;13.88897991;;
5;1.0;6.573657335;5.991744995;13.88897991;;
6;1.0;6.724901199;7.032062054;13.88897991;;
7;1.0;6.724901199;7.032062054;13.88897991;;
8;1.0;6.730460167;7.0369558329999995;12.88078022;;
9;1.0;6.735983849;7.18054738;14.92125034;;
10;1.0;6.735983849;7.032062054;14.92125034;;
11;1.0;6.749941826000001;7.032062054;13.88897991;;
12;1.0;6.749941826000001;6.437299787000001;13.88897991;;
13;1.0;6.749941826000001;5.991744995;13.88897991;;
14;1.0;6.760632038;5.991744995;13.88897991;;
15;1.0;6.760632038;6.453970036;13.88897991;;
16;1.0;6.762670994;5.991744995;13.88897991;;
17;1.0;6.762670994;5.991744995;13.88897991;;
18;1.0;6.762670994;5.991744995;13.88897991;;
19;1.0;6.762670994;5.991744995;13.88897991;;
20;1.0;6.762670994;5.991744995;13.88897991;;
21;1.0;6.762670994;5.991744995;13.88897991;;
22;1.0;6.762670994;5.991744995;13.88897991;;
23;1.0;6.762670994;5.991744995;13.88897991;;
24;1.0;6.762670994;5.991744995;13.88897991;;
25;1.0;6.762670994;5.991744995;13.88897991;;
26;1.0;6.762670994;5.991744995;13.88897991;;
27;1.0;6.794266223999999;7.093712807;12.88078022;;
28;1.0;6.794266223999999;7.093712807;12.88078022;;
29;1.0;6.794266223999999;7.093712807;12.88078022;;
30;1.0;6.794266223999999;7.093712807;12.88078022;;
31;1.0;6.794266223999999;7.093712807;12.88078022;;
32;1.0;6.794266223999999;7.093712807;12.88078022;;
33;1.0;6.794266223999999;7.093712807;12.88078022;;
34;1.0;6.794266223999999;6.404227917;12.88078022;;
35;1.0;6.794266223999999;6.079026222;12.88078022;;
36;1.0;6.794266223999999;6.079026222;12.88078022;;
37;1.0;6.794266223999999;6.079026222;12.88078022;;
38;1.0;6.794266223999999;6.119724306;12.88078022;;
39;1.0;6.879373375;7.0369558329999995;12.88078022;;
40;1.0;6.881771088;7.109640121;12.88078022;;
41;1.0;6.881771088;7.109640121;12.88078022;;
42;1.0;6.894159817;7.032062054;14.92125034;;
43;1.0;6.93807089;8.084796906000001;14.92125034;;
44;1.0;7.043727318999999;7.032062054;13.88897991;;
45;1.0;7.09434635;7.032062054;13.88897991;;
46;1.0;7.296689774;7.0369558329999995;12.88078022;;
47;1.0;7.308530848999999;5.991744995;13.88897991;;
48;1.0;7.317079242;7.109640121;12.88078022;;
49;1.0;7.48418689;7.0369558329999995;13.88897991;;
50;1.0;7.555516432;5.991744995;13.88897991;;
51;1.0;7.570727077000001;7.109640121;12.88078022;;
52;1.0;7.602959666;7.032062054;13.88897991;;
53;1.0;7.628926568;7.144868171000001;12.88078022;;
54;1.0;7.7487998010000005;7.032062054;14.92125034;;
55;1.0;7.7487998010000005;7.032062054;14.92125034;;
56;1.0;7.7487998010000005;7.032062054;14.92125034;;
57;1.0;7.7487998010000005;7.032062054;14.696775400000002;;
58;1.0;7.762271881;7.0369558329999995;13.87488388;;
59;1.0;7.763740062999999;7.032062054;13.88897991;;
60;1.0;7.763740062999999;7.032062054;13.88897991;;
61;1.0;7.763740062999999;7.032062054;13.88897991;;
62;1.0;7.802152157;5.991744995;13.88897991;;
63;1.0;7.802152157;5.991744995;13.88897991;;
64;1.0;7.804714203;8.095378876;12.88078022;;
65;1.0;7.804714203;8.095378876;12.88078022;;
66;1.0;7.80599308;7.0369558329999995;12.88078022;;
67;1.0;7.80599308;7.0369558329999995;12.88078022;;
68;1.0;7.80599308;7.0369558329999995;12.88078022;;
69;1.0;7.8263978960000005;8.084796906000001;14.92125034;;
70;1.0;7.8263978960000005;8.084796906000001;14.92125034;;
71;1.0;7.8263978960000005;8.084796906000001;14.92125034;;
72;1.0;7.836627007000001;8.842343467000001;14.92125034;;
73;1.0;7.836627007000001;8.153979301;14.92125034;;
74;1.0;7.836627007000001;8.153979301;14.92125034;;
75;1.0;7.836627007000001;8.153979301;14.92125034;;
76;1.0;7.836627007000001;8.153979301;14.92125034;;
77;1.0;7.836627007000001;8.153979301;14.92125034;;
78;1.0;7.836627007000001;8.153979301;14.92125034;;
79;1.0;7.836627007000001;8.153979301;14.92125034;;
80;1.0;7.836627007000001;8.153979301;14.92125034;;
81;1.0;7.836627007000001;8.153979301;14.92125034;;
82;1.0;7.836627007000001;8.153979301;14.92125034;;
83;1.0;7.836627007000001;8.153979301;14.92125034;;
84;1.0;7.836627007000001;8.153979301;14.92125034;;
85;1.0;7.888403893;7.109640121;12.88078022;;
86;1.0;7.888403893;7.109640121;12.88078022;;
87;1.0;7.888403893;7.109640121;12.88078022;;
88;1.0;7.888403893;7.109640121;12.88078022;;
89;1.0;7.888403893;7.109640121;12.88078022;;
90;1.0;7.888403893;7.109640121;12.88078022;;
91;1.0;7.898206774;8.095378876;12.88078022;;
92;1.0;8.098310571;7.0369558329999995;12.88078022;;
93;1.0;8.311511559;8.153979301;14.92125034;;
94;1.0;8.77519276;9.174125671;14.92125034;;
95;1.0;8.787713;8.084796906000001;14.92125034;;
96;1.0;8.819311142;7.0369558329999995;12.88078022;;
97;1.0;8.819311142;7.4469024820000005;12.88078022;;
98;1.0;8.819311142;8.095378876;12.88078022;;
99;1.0;8.819311142;8.095378876;12.88078022;;
100;1.0;8.819311142;8.095378876;12.88078022;;
101;1.0;8.819311142;8.095378876;12.88078022;;
102;1.0;8.840685844;10.21084023;14.92125034;;
103;1.0;8.840685844;9.42842916;14.92125034;;
104;1.0;8.840685844;9.174125671;14.92125034;;
105;1.0;8.840685844;9.174125671;14.92125034;;
106;1.0;8.840685844;9.174125671;14.92125034;;
107;1.0;8.840685844;9.174125671;14.92125034;;
108;1.0;8.840685844;9.174125671;14.92125034;;
109;1.0;8.840685844;9.174125671;14.92125034;;
110;1.0;8.840685844;9.174125671;14.92125034;;
111;1.0;8.840685844;9.174125671;14.92125034;;
112;1.0;8.840685844;9.174125671;14.92125034;;
113;1.0;8.840685844;9.174125671;14.92125034;;
114;1.0;8.840685844;9.174125671;14.92125034;;
115;1.0;8.840685844;9.174125671;14.92125034;;
116;1.0;8.848971367;8.153979301;14.92125034;;
117;1.0;8.848971367;8.153979301;14.92125034;;
118;1.0;8.848971367;8.153979301;14.92125034;;
119;1.0;8.848971367;8.153979301;14.92125034;;
120;1.0;8.848971367;8.153979301;14.92125034;;
121;1.0;8.848971367;8.153979301;14.92125034;;
122;1.0;8.848971367;8.153979301;14.92125034;;
123;1.0;8.848971367;8.153979301;14.92125034;;
124;1.0;8.858947753999999;9.159977912999999;14.92125034;;
125;1.0;8.858947753999999;9.159977912999999;14.92125034;;
126;1.0;8.858947753999999;9.159977912999999;14.92125034;;
127;1.0;8.858947753999999;9.159977912999999;14.92125034;;
128;1.0;8.858947753999999;9.159977912999999;14.92125034;;
129;1.0;8.858947753999999;9.159977912999999;14.92125034;;
